,sentence,DA_tag
0,Uh huh,accept
1,Uh huh,accept
2,Yeah,accept
3,Who awarded The Flying Fickle Finger of Fate ?,wh-question
4,Yes,accept
5,Uh huh,accept
6,Right,accept
7,Well only to the point that he could go to somebody at his own expense,reject
8,Well thank you for calling,farewell
9,Uh yeah,accept
10,Yeah,accept
11,yes,accept
12,Well yeah,accept
13,What is spaceball played on ?,wh-question
14,yeah,accept
15,Yeah,accept
16,Uh huh,accept
17,It was nice talking to you too,farewell
18,Power the world.,imperative
19,Yeah,accept
20,Well no,reject
21,Uh huh,accept
22,What was John F. Kennedy 's 1960 campaign song ?,wh-question
23,Uh huh,accept
24,Oh sure,accept
25,Uh huh,accept
26,yes,accept
27,no,reject
28,Who portrayed Vincent Van Gogh in Lust for Life ?,wh-question
29,Okay,accept
30,Yeah,accept
31,Oh yeah,accept
32,Yeah,accept
33,Yeah,accept
34,Who lived on the shores of the Gitchee Gumee River ?,wh-question
35,Yeah,accept
36,Where are you from,wh-question
37,Uh huh,accept
38,Uh huh,accept
39,Yeah,accept
40,Uh huh,accept
41,Uh huh,accept
42,Yeah,accept
43,Yeah,accept
44,Oh well,accept
45,Uh huh,accept
46,Uh huh,accept
47,Bye,farewell
48,Uh huh,accept
49,Uh huh,accept
50,Who betrayed Norway to the Nazis ?,wh-question
51,Uh huh,accept
52,Yeah,farewell
53,How old is your granddaughter,wh-question
54,Uh huh,accept
55,Huh,accept
56,Bye bye,farewell
57,Uh huh,accept
58,Yeah,accept
59,What province is Edmonton located in ?,wh-question
60,Uh huh,accept
61,What 's the Hungarian word for pepper ?,wh-question
62,right,accept
63,Uh huh,accept
64,Yeah,accept
65,Yeah,accept
66,keep your friends close,imperative
67,Yeah,accept
68,How many people died because of a smoking problem in 1997 ?,wh-question
69,Uh huh,accept
70,Uh huh,accept
71,Uh huh,accept
72,Sure,accept
73,Uh huh,accept
74,Yes,accept
75,it s been a pleasure talking to you,farewell
76,Right,accept
77,Yes,accept
78,yeah,accept
79,Uh huh laughter,accept
80,Yeah,accept
81,What cathedral was Thomas Becket murdered in ?,wh-question
82,Yeah,accept
83,Uh huh,accept
84,Okay,accept
85,Uh huh,accept
86,Uh huh,accept
87,Yeah,accept
88,Yeah,accept
89,Right,accept
90,Yeah,accept
91,Yeah,accept
92,Yeah,accept
93,Yeah,accept
94,By the same token most in most cases women have the jobs with the same responsibility of men who have been there before but at lower salaries,accept
